# 基于微软亚洲语料库统计
[字	次数	频率	累计频率]
的	60758	0.15857	0.15857
一	20588	0.05373	0.2123
了	13635	0.03559	0.24789
不	12933	0.03375	0.28164
中	12195	0.03183	0.31347
和	10830	0.02826	0.34173
大	10509	0.02743	0.36916
为	8976	0.02343	0.39259
会	7971	0.0208	0.41339
要	7878	0.02056	0.43395
作	7253	0.01893	0.45288
上	7129	0.01861	0.47149
发	6930	0.01809	0.48958
行	5822	0.01519	0.50477
说	4754	0.01241	0.51718
重	4238	0.01106	0.52824
同	4028	0.01051	0.53875
得	3879	0.01012	0.54887
长	3841	0.01002	0.55889
与	3826	0.00999	0.56888
场	3603	0.0094	0.57828
好	3501	0.00914	0.58742
过	3479	0.00908	0.5965
济	3350	0.00874	0.60524
可	3335	0.0087	0.61394
分	3319	0.00866	0.6226
合	3244	0.00847	0.63107
着	3087	0.00806	0.63913
还	2979	0.00777	0.6469
都	2915	0.00761	0.65451
种	2897	0.00756	0.66207
当	2893	0.00755	0.66962
将	2677	0.00699	0.67661
正	2448	0.00639	0.683
度	2440	0.00637	0.68937
区	2434	0.00635	0.69572
系	2432	0.00635	0.70207
提	2391	0.00624	0.70831
强	2364	0.00617	0.71448
教	2328	0.00608	0.72056
应	2116	0.00552	0.72608
解	2115	0.00552	0.7316
术	2103	0.00549	0.73709
看	2062	0.00538	0.74247
任	2008	0.00524	0.74771
相	1969	0.00514	0.75285
间	1962	0.00512	0.75797
没	1957	0.00511	0.76308
通	1950	0.00509	0.76817
干	1899	0.00496	0.77313
更	1854	0.00484	0.77797
委	1843	0.00481	0.78278
把	1824	0.00476	0.78754
那	1708	0.00446	0.792
量	1682	0.00439	0.79639
少	1670	0.00436	0.80075
只	1653	0.00431	0.80506
难	1650	0.00431	0.80937
结	1631	0.00426	0.81363
几	1576	0.00411	0.81774
调	1549	0.00404	0.82178
处	1510	0.00394	0.82572
革	1427	0.00372	0.82944
识	1426	0.00372	0.83316
给	1382	0.00361	0.83677
克	1372	0.00358	0.84035
创	1332	0.00348	0.84383
拉	1263	0.0033	0.84713
传	1257	0.00328	0.85041
参	1249	0.00326	0.85367
车	1210	0.00316	0.85683
别	1174	0.00306	0.85989
打	1170	0.00305	0.86294
服	1148	0.003	0.86594
数	1101	0.00287	0.86881
色	1045	0.00273	0.87154
省	1039	0.00271	0.87425
据	1038	0.00271	0.87696
单	961	0.00251	0.87947
校	953	0.00249	0.88196
岗	946	0.00247	0.88443
转	939	0.00245	0.88688
亲	892	0.00233	0.88921
兴	884	0.00231	0.89152
切	874	0.00228	0.8938
片	830	0.00217	0.89597
纪	825	0.00215	0.89812
供	806	0.0021	0.90022
空	790	0.00206	0.90228
仅	778	0.00203	0.90431
便	735	0.00192	0.90623
乐	733	0.00191	0.90814
什	727	0.0019	0.91004
节	725	0.00189	0.91193
尽	723	0.00189	0.91382
落	720	0.00188	0.9157
阿	651	0.0017	0.9174
称	651	0.0017	0.9191
读	647	0.00169	0.92079
率	622	0.00162	0.92241
约	620	0.00162	0.92402
曾	618	0.00161	0.92563
模	615	0.00161	0.92724
监	608	0.00159	0.92883
划	602	0.00157	0.93040
担	553	0.00144	0.93184
排	516	0.00135	0.9331
红	510	0.00133	0.93452
著	467	0.00122	0.93574
藏	434	0.00113	0.93687
否	429	0.00112	0.937
觉	424	0.00111	0.93910
斗	423	0.0011	0.94020
血	394	0.00103	0.94123
奇	389	0.00102	0.94225
差	376	0.00098	0.94323
冲	376	0.00098	0.94421
似	375	0.00098	0.9451
予	373	0.00097	0.94616
属	366	0.00096	0.94712
号	356	0.00093	0.94805
卡	353	0.00092	0.94897
禁	348	0.00091	0.94988
降	347	0.00091	0.9507
角	335	0.00087	0.95166
谁	334	0.00087	0.95253
绿	330	0.00086	0.9533
散	330	0.00086	0.95425
假	318	0.00083	0.95508
括	317	0.00083	0.95591
择	285	0.00074	0.95665
呢	281	0.00073	0.95738
鲜	279	0.00073	0.95811
宁	277	0.00072	0.95883
朝	274	0.00072	0.95955
哈	268	0.0007	0.96025
挑	260	0.00068	0.96093
占	257	0.00067	0.96160
背	252	0.00066	0.96226
露	248	0.00065	0.96291
熟	246	0.00064	0.96355
倒	246	0.00064	0.9641
答	245	0.00064	0.96483
叶	244	0.00064	0.96547
遗	236	0.00062	0.9660
暴	235	0.00061	0.96670
塞	235	0.00061	0.96731
秘	233	0.00061	0.96792
综	231	0.0006	0.96852
络	230	0.0006	0.96912
恶	230	0.0006	0.96972
脚	228	0.0006	0.97032
盛	228	0.0006	0.97093
勒	224	0.00058	0.97151
扎	223	0.00058	0.97209
曲	218	0.00057	0.97266
迫	203	0.00053	0.97319
蒙	193	0.0005	0.97368
拓	191	0.0005	0.97418
瓦	189	0.00049	0.97467
折	189	0.00049	0.97516
跑	185	0.00048	0.97564
冠	174	0.00045	0.9760
骨	169	0.00044	0.97653
累	167	0.00044	0.97697
抢	167	0.00044	0.97741
伯	161	0.00042	0.97783
喝	160	0.00042	0.97825
弹	158	0.00041	0.97866
隆	157	0.00041	0.97907
载	156	0.00041	0.97948
吁	149	0.00039	0.97987
奔	146	0.00038	0.98025
佛	145	0.00038	0.98064
卷	140	0.00037	0.98100
混	132	0.00034	0.98135
朴	132	0.00034	0.98169
乘	131	0.00034	0.98203
蓝	130	0.00034	0.98237
摩	129	0.00034	0.98271
劲	129	0.00034	0.98305
乌	126	0.00033	0.98338
泥	119	0.00031	0.98369
菲	118	0.00031	0.984
舍	118	0.00031	0.98431
症	116	0.0003	0.98461
谷	114	0.0003	0.98491
荷	112	0.00029	0.9852
估	110	0.00029	0.98549
汤	105	0.00027	0.98576
耶	100	0.00026	0.98602
弄	100	0.00026	0.98628
薄	96	0.00025	0.98653
厦	95	0.00025	0.98678
艾	94	0.00025	0.98703
扫	92	0.00024	0.98727
踏	91	0.00024	0.98751
汗	91	0.00024	0.98775
殖	87	0.00023	0.98798
横	87	0.00023	0.98821
铺	86	0.00022	0.98843
脏	85	0.00022	0.98865
欠	85	0.00022	0.98887
圈	85	0.00022	0.98909
辟	84	0.00022	0.98931
炮	82	0.00021	0.98952
悄	78	0.0002	0.98972
旋	75	0.0002	0.98992
漂	71	0.00019	0.99011
尾	70	0.00018	0.99029
刷	70	0.00018	0.99047
丧	70	0.00018	0.99064
畜	69	0.00018	0.99082
炸	69	0.00018	0.99100
撒	66	0.00017	0.99117
稍	64	0.00017	0.99134
屏	64	0.00017	0.99151
埋	64	0.00017	0.99168
堡	62	0.00016	0.99184
宿	61	0.00016	0.99201
挣	59	0.00015	0.99215
泡	57	0.00015	0.99230
吐	57	0.00015	0.99245
削	56	0.00015	0.99260
仆	55	0.00014	0.99274
涨	53	0.00014	0.99288
肖	51	0.00013	0.99301
蔓	48	0.00013	0.99314
脉	48	0.00013	0.99327
仔	48	0.00013	0.99340
喷	47	0.00012	0.99352
俩	47	0.00012	0.99364
缴	46	0.00012	0.99376
缉	45	0.00012	0.99388
挨	44	0.00011	0.993
钻	43	0.00011	0.99410
菌	43	0.00011	0.99422
纤	42	0.00011	0.99433
娜	42	0.00011	0.99444
剥	42	0.00011	0.99455
兹	42	0.00011	0.99466
泊	41	0.00011	0.99477
咖	41	0.00011	0.99488
尉	40	0.0001	0.99498
葛	39	0.0001	0.99508
夹	39	0.0001	0.99518
坊	39	0.0001	0.99528
稽	37	0.0001	0.99538
勾	37	0.0001	0.99548
巷	35	9e-05	0.99557
尿	35	9e-05	0.99566
膀	34	9e-05	0.99575
缝	34	9e-05	0.99584
闷	33	9e-05	0.99593
杆	33	9e-05	0.99602
虹	32	8e-05	0.9961
殷	32	8e-05	0.99618
卜	32	8e-05	0.99626
拾	31	8e-05	0.99634
壳	31	8e-05	0.99642
亟	31	8e-05	0.9965
肚	26	7e-05	0.99657
抹	26	7e-05	0.99664
叉	26	7e-05	0.99671
臭	25	7e-05	0.99678
澄	25	7e-05	0.99685
膏	24	6e-05	0.99691
纹	24	6e-05	0.99697
笼	24	6e-05	0.99703
碌	24	6e-05	0.99709
淋	24	6e-05	0.99715
囊	24	6e-05	0.99721
臂	23	6e-05	0.99727
溃	23	6e-05	0.99732
趟	22	6e-05	0.99738
芯	22	6e-05	0.99744
粘	22	6e-05	0.99750
溜	21	5e-05	0.99755
钉	20	5e-05	0.99760
熬	20	5e-05	0.99765
熏	20	5e-05	0.99770
刹	20	5e-05	0.99775
颈	19	5e-05	0.99780
遂	19	5e-05	0.99785
逮	19	5e-05	0.99790
杉	19	5e-05	0.99795
哄	19	5e-05	0.99800
龟	18	5e-05	0.99805
虾	18	5e-05	0.99810
沓	18	5e-05	0.99815
晃	18	5e-05	0.99820
颤	17	4e-05	0.99824
豁	17	4e-05	0.99828
嚷	17	4e-05	0.99832
咽	17	4e-05	0.99836
雀	16	4e-05	0.99840
膊	16	4e-05	0.99845
槟	16	4e-05	0.99849
曝	16	4e-05	0.99853
矩	15	4e-05	0.99857
煞	15	4e-05	0.99861
氓	15	4e-05	0.99865
吓	15	4e-05	0.99869
钥	14	4e-05	0.99873
攒	14	4e-05	0.99877
坷	14	4e-05	0.99881
匙	14	4e-05	0.99885
靡	13	3e-05	0.99888
磅	13	3e-05	0.99891
瀑	13	3e-05	0.99894
晕	13	3e-05	0.99897
嘲	12	3e-05	0.999
胖	11	3e-05	0.99903
绰	11	3e-05	0.99906
栖	11	3e-05	0.99909
扛	11	3e-05	0.99912
幢	11	3e-05	0.99915
爪	10	3e-05	0.99918
帖	10	3e-05	0.99921
哑	10	3e-05	0.99924
藉	9	2e-05	0.99926
莞	9	2e-05	0.99928
茄	9	2e-05	0.9993
禅	9	2e-05	0.99932
